Region,IslandGroup
National Capital Region (NCR),Luzon
Cordillera Administrative Region (CAR),Luzon
Region I (Ilocos Region),Luzon
Region II (Cagayan Valley),Luzon
Region III (Central Luzon),Luzon
Region IV-A (CALABARZON),Luzon
MIMAROPA Region,Luzon
Region V (Bicol Region),Luzon
Region VI (Western Visayas),Visayas
Region VII (Central Visayas),Visayas
Region VIII (Eastern Visayas),Visayas
Region IX (Zamboanga Peninsula),Mindanao
Region X (Northern Mindanao),Mindanao
Region XI (Davao Region),Mindanao
Region XII (SOCCSKSARGEN),Mindanao
Region XIII (Caraga),Mindanao
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao
