Code,Name,Geographic Level,City Class,Income Classification,Urban / Rural(based on 2015 POPCEN),POPULATION(2015 POPCEN),Notes,Capital,Old Name
10000000,REGION I (ILOCOS REGION),Reg,,,,"5,026,128",,,
12800000,ILOCOS NORTE,Prov,,1st,,"593,081",,,
12801000,ADAMS,Mun,,5th,,"1,792",,,
12801001,Adams (Pob.),Bgy,,,R,"1,792",,,
12802000,BACARRA,Mun,,3rd,,"32,215",,,
12802001,Bani,Bgy,,,R,853,,,
12802002,Buyon,Bgy,,,R,"1,596",,,
12802003,Cabaruan,Bgy,,,R,"1,413",,,
12802004,Cabulalaan,Bgy,,,R,733,,,
12802005,Cabusligan,Bgy,,,R,"1,038",,,
12802006,Cadaratan,Bgy,,,R,"1,192",,,
12802007,Calioet-Libong,Bgy,,,R,823,,,
12802008,Casilian,Bgy,,,R,992,,,
12802009,Corocor,Bgy,,,R,814,,,
12802011,Duripes,Bgy,,,R,"1,010",,,
12802012,Ganagan,Bgy,,,R,699,,,
12802013,Libtong,Bgy,,,R,"1,587",,,
12802014,Macupit,Bgy,,,R,625,,,
12802015,Nambaran,Bgy,,,R,982,,,
12802016,Natba,Bgy,,,R,530,,,
12802017,Paninaan,Bgy,,,R,440,,,
12802018,Pasiocan,Bgy,,,R,"1,162",,,
12802019,Pasngal,Bgy,,,R,760,,,
12802020,Pipias,Bgy,,,R,"1,049",,,
12802021,Pulangi,Bgy,,,R,"1,082",,,
12802022,Pungto,Bgy,,,R,571,,,
12802024,San Agustin I (Pob.),Bgy,,,R,546,,,
12802025,San Agustin II (Pob.),Bgy,,,R,274,,,
12802027,San Andres I (Pob.),Bgy,,,R,782,,,
12802028,San Andres II (Pob.),Bgy,,,R,694,,,
12802030,San Gabriel I (Pob.),Bgy,,,R,269,,,
12802031,San Gabriel II (Pob.),Bgy,,,R,390,,,
12802033,San Pedro I (Pob.),Bgy,,,R,385,,,
12802034,San Pedro II (Pob.),Bgy,,,R,597,,,
12802036,San Roque I (Pob.),Bgy,,,R,524,,,
12802037,San Roque II (Pob.),Bgy,,,R,352,,,
12802039,San Simon I (Pob.),Bgy,,,R,626,,,
12802040,San Simon II (Pob.),Bgy,,,R,333,,,
12802041,San Vicente (Pob.),Bgy,,,R,649,,,
12802042,Sangil,Bgy,,,R,"1,031",,,
12802044,Santa Filomena I (Pob.),Bgy,,,R,264,,,
12802045,Santa Filomena II (Pob.),Bgy,,,R,342,,,
12802046,Santa Rita (Pob.),Bgy,,,R,"1,104",,,
12802047,Santo Cristo I (Pob.),Bgy,,,R,409,,,
12802048,Santo Cristo II (Pob.),Bgy,,,R,420,,,
12802050,Tambidao,Bgy,,,R,775,,,
12802051,Teppang,Bgy,,,R,643,,,
12802052,Tubburan,Bgy,,,R,855,,,
12803000,BADOC,Mun,,3rd,,"31,616",,,
12803001,Alay-Nangbabaan (Alay 15-B),Bgy,,,R,"1,079",,,
12803002,Alogoog,Bgy,,,R,936,,,
12803003,Ar-arusip,Bgy,,,R,799,,,
12803004,Aring,Bgy,,,R,"1,351",,,
12803005,Balbaldez,Bgy,,,R,320,,,
12803006,Bato,Bgy,,,R,979,,,
12803007,Camanga,Bgy,,,R,"1,126",,,
12803008,Canaan (Pob.),Bgy,,,R,573,,,
12803009,Caraitan,Bgy,,,R,"1,370",,,
12803011,Gabut Norte,Bgy,,,R,"1,536",,,
12803012,Gabut Sur,Bgy,,,R,"1,011",,,
12803013,Garreta (Pob.),Bgy,,,R,"1,376",,,
12803016,Labut,Bgy,,,R,765,,,
12803017,Lacuben,Bgy,,,R,"1,422",,,
12803018,Lubigan,Bgy,,,R,"1,260",,,
12803020,Mabusag Norte,Bgy,,,R,"1,130",,,
12803021,Mabusag Sur,Bgy,,,R,"1,133",,,
12803022,Madupayas,Bgy,,,R,861,,,
12803023,Morong,Bgy,,,R,854,,,
12803025,Nagrebcan,Bgy,,,R,525,,,
12803026,Napu,Bgy,,,R,"1,488",,,
12803027,La Virgen Milagrosa (Paguetpet),Bgy,,,R,"1,080",,,
12803028,Pagsanahan Norte,Bgy,,,R,"1,180",,,
12803029,Pagsanahan Sur,Bgy,,,R,"1,337",,,
12803030,Paltit,Bgy,,,R,"1,617",,,
12803031,Parang,Bgy,,,R,427,,,
12803032,Pasuc,Bgy,,,R,428,,,
12803034,Santa Cruz Norte,Bgy,,,R,958,,,
12803035,Santa Cruz Sur,Bgy,,,R,689,,,
12803036,Saud,Bgy,,,R,"1,244",,,
12803037,Turod,Bgy,,,R,762,,,
12804000,BANGUI,Mun,,4th,,"14,672",,,
12804001,Abaca,Bgy,,,U,"1,729",,,
12804002,Bacsil,Bgy,,,R,725,,,
12804003,Banban,Bgy,,,R,740,,,
12804004,Baruyen,Bgy,,,R,"1,541",,,
12804005,Dadaor,Bgy,,,R,426,,,
12804006,Lanao,Bgy,,,R,"1,958",,,
12804007,Malasin,Bgy,,,R,"1,000",,,
12804008,Manayon,Bgy,,,R,"1,092",,,
12804009,Masikil,Bgy,,,R,629,,,
12804010,Nagbalagan,Bgy,,,R,701,,,
12804011,Payac,Bgy,,,R,758,,,
12804012,San Lorenzo (Pob.),Bgy,,,R,"2,176",,,
12804014,Taguiporo,Bgy,,,R,547,,,
12804015,Utol,Bgy,,,R,650,,,
12805000,CITY OF BATAC,City,CC,5th,,"55,201",,,
